Year,nation,Race,Hispanic.Origin,Gender.Code,Education,rural_urban_class,source,measure1,measure2,min_age,max_age,scenario,method,mean,lower,upper,attr
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,YLL,absolute number,25,110,B,di_gee,2543.30849329918,1525.98509597951,3560.63189061884,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,YLL,absolute number,25,110,B,di_coxme,3687.7973152838,2288.97764396926,5162.91624139733,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,YLL,absolute number,25,110,C,di_gee,1655.5709297035,993.342557822099,2317.79930158489,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,YLL,absolute number,25,110,C,di_coxme,2400.57784807007,1490.01383673315,3360.8089872981,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,YLL,age-adjusted rate,25,150,A,di_gee,582.015709883027,349.209425929816,814.821993836236,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,YLL,age-adjusted rate,25,150,A,di_coxme,843.922779330388,523.814138894724,1181.49189106254,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,YLL,age-adjusted rate,25,150,B,di_gee,574.742841399234,344.84570483954,804.639977958926,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,YLL,age-adjusted rate,25,150,B,di_coxme,833.377120028888,517.26855725931,1166.72796804044,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,YLL,age-adjusted rate,25,150,C,di_gee,374.129816647386,224.477889988431,523.781743306339,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,YLL,age-adjusted rate,25,150,C,di_coxme,542.488234138709,336.716834982647,759.483527794192,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,YLL,crude rate,25,110,A,di_gee,765.451542082588,459.270925249553,1071.63215891562,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,YLL,crude rate,25,110,A,di_coxme,1109.90473601975,688.906387874329,1553.86663042765,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,YLL,crude rate,25,110,B,di_gee,755.886459385074,453.531875631045,1058.2410431391,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,YLL,crude rate,25,110,B,di_coxme,1096.03536610836,680.297813446567,1534.4495125517,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,YLL,crude rate,25,110,C,di_gee,492.045558614515,295.227335168709,688.863782060319,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,YLL,crude rate,25,110,C,di_coxme,713.466059991046,442.841002753063,998.852483987464,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,Deaths,absolute number,25,110,A,di_gee,37.6013796452173,22.5608277871304,52.6419315033042,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,Deaths,absolute number,25,110,A,di_coxme,54.5220004855651,33.8412416806956,76.3308006797911,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,Deaths,absolute number,25,110,B,di_gee,37.2558763122518,22.3535257873511,52.1582268371525,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,Deaths,absolute number,25,110,B,di_coxme,54.0210206527651,33.5302886810267,75.6294289138712,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,Deaths,absolute number,25,110,C,di_gee,24.7028679360693,14.8217207616416,34.5840151104969,attributable
