Year,Race,Hispanic.Origin,label_cause,Gender.Code,nation,Education,attr,source,min_age,max_age,value,measure1,measure2
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,35,39,9.73423540459575,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,0,4,3.67835191991537,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,40,44,17.00067538816,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,45,49,22.9178346530198,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,50,54,26.3395082291248,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,55,59,38.616466254285,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,60,64,40.3005849190646,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,65,69,66.2160250063263,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,75,79,111.801656483951,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,70,74,77.4837184657505,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,80,84,141.45974973527,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,85,150,99.2669675184069,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,M,us,666,overall,wonder,5,9,0.531189074578193,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,M,us,666,overall,wonder,10,14,1.80057274062354,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,M,us,666,overall,wonder,15,19,7.36910091437899,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,M,us,666,overall,wonder,25,29,12.0883358393302,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,M,us,666,overall,wonder,20,24,10.9343033971452,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,M,us,666,overall,wonder,30,34,12.9169424413323,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,M,us,666,overall,wonder,0,4,5.30495980409906,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,M,us,666,overall,wonder,35,39,18.4841099255807,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,M,us,666,overall,wonder,40,44,25.8486105344143,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,M,us,666,overall,wonder,45,49,35.8223384730278,Deaths,age-adjusted rate
