Year,Race,Hispanic.Origin,Education,Gender.Code,STATEFP,measure1,measure2,attr,min_age,max_age,scenario,mean,lower,upper,source,method
2000,All,All Origins,666,A,13,Deaths,absolute number,attributable,25,150,B,1486.95651828128,1149.41413564381,1926.57887048081,nvss,GBD
2000,All,All Origins,666,A,13,Deaths,absolute number,attributable,25,150,C,770.636440833707,450.668961257055,1199.9496013053,nvss,GBD
2000,All,All Origins,666,A,13,Deaths,age-adjusted rate,attributable,85,150,A,4.22238988028366,3.32390221231723,5.32883555552826,nvss,GBD
2000,All,All Origins,666,A,13,Deaths,age-adjusted rate,attributable,85,150,B,2.89006357182954,2.0982066369007,3.9257502364986,nvss,GBD
2000,All,All Origins,666,A,13,Deaths,age-adjusted rate,attributable,85,150,C,1.46969088054771,0.806271655022105,2.38556118999541,nvss,GBD
2000,All,All Origins,666,A,13,Deaths,crude rate,attributable,25,150,A,40.9875840454763,34.4146031796784,49.3302424963035,nvss,GBD
2000,All,All Origins,666,A,13,Deaths,crude rate,attributable,25,150,B,28.5628658493635,22.079032815098,37.007547395782,nvss,GBD
2000,All,All Origins,666,A,13,Deaths,crude rate,attributable,25,150,C,14.8031129407916,8.65687525129248,23.0497657911991,nvss,GBD
2000,All,All Origins,666,A,13,YLL,absolute number,attributable,25,150,A,51853.0451555924,43404.8964147864,62144.3900290994,nvss,GBD
2000,All,All Origins,666,A,13,YLL,absolute number,attributable,25,150,B,36234.2583722069,27992.4893497907,46700.1617924231,nvss,GBD
2000,All,All Origins,666,A,13,YLL,absolute number,attributable,25,150,C,18878.3142699426,10984.5692471074,29460.3767523699,nvss,GBD
2000,All,All Origins,666,A,13,YLL,age-adjusted rate,attributable,85,150,A,37.2831221173486,29.4574636778555,46.9797004338678,nvss,GBD
2000,All,All Origins,666,A,13,YLL,age-adjusted rate,attributable,85,150,B,25.5223799966173,18.5599792085303,34.6334078199661,nvss,GBD
2000,All,All Origins,666,A,13,YLL,age-adjusted rate,attributable,85,150,C,12.9811621677813,7.12951203160664,21.0635404297632,nvss,GBD
2000,All,All Origins,666,A,13,YLL,crude rate,attributable,25,150,A,996.042288023384,833.762264234912,1193.72816479084,nvss,GBD
2000,All,All Origins,666,A,13,YLL,crude rate,attributable,25,150,B,696.021873075878,537.706185929345,897.060835351356,nvss,GBD
2000,All,All Origins,666,A,13,YLL,crude rate,attributable,25,150,C,362.632498882857,211.001985573071,565.902754185627,nvss,GBD
2000,All,All Origins,666,A,15,Deaths,absolute number,attributable,25,150,A,10.0447193270155,0,47.7211095374462,nvss,GBD
2000,All,All Origins,666,A,15,Deaths,absolute number,attributable,25,150,B,10.0447193270155,0,47.7211095374462,nvss,GBD
