Year,STATEFP,Race,Hispanic.Origin,Gender.Code,Education,rural_urban_class,source,measure1,measure2,label_cause,value,min_age,max_age,scenario,method,mean,lower,upper
1991,11,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,273.672216406096,25,150,B,di_coxme,18.3907729424896,14.36779136132,22.4137545236592
1991,11,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,273.672216406096,25,150,B,di_coxme,26.8198772077974,22.222183972175,31.4175704434198
1991,11,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,273.672216406096,25,150,C,di_coxme,7.88175983249556,6.15762486913715,9.60589479585396
1991,11,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,273.672216406096,25,150,C,di_coxme,11.494233089056,9.52379313093214,13.4646730471799
1991,11,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1308.55235595102,25,150,A,di_gee,446.957685279447,427.618170051009,466.297200507885
1991,11,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1308.55235595102,25,150,A,di_gee,464.148365482502,442.660015228683,483.48788071094
1991,11,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1308.55235595102,25,150,B,di_gee,190.525223026468,182.281343183977,198.76910286896
1991,11,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1308.55235595102,25,150,B,di_gee,197.853116219794,188.693249728137,206.096996062285
1991,11,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1308.55235595102,25,150,C,di_gee,81.6536670113435,78.1205756502758,85.1867583724113
1991,11,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1308.55235595102,25,150,C,di_gee,84.794192665626,80.8685355977729,88.3272840266938
1991,11,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,801.743225921664,25,150,A,di_gee,82.8199777674916,78.876169302373,85.449183410904
1991,11,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,801.743225921664,25,150,A,di_gee,89.3929918760228,85.449183410904,92.0221975194352
