Year,STATEFP,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,lower,mean,upper,method,attr
2000,2,White,Hispanic or Latino,F,666,nvss,YLL,crude rate,351.62030385251,510.930008990935,650.064406534255,EPA,attributable
2000,2,White,Hispanic or Latino,M,666,nvss,Deaths,absolute number,1.51512973452856,2.20083448278671,2.80004260537852,EPA,attributable
2000,2,White,Hispanic or Latino,M,666,nvss,Deaths,age-adjusted rate,2043.77962716358,2968.73632413937,3777.0165165713,EPA,attributable
2000,2,White,Hispanic or Latino,M,666,nvss,Deaths,crude rate,14.1112949103899,20.4976667857568,26.0784446808096,EPA,attributable
2000,2,White,Hispanic or Latino,M,666,nvss,YLL,absolute number,53.60917076477,77.8711610787697,99.0726792297265,EPA,attributable
2000,2,White,Hispanic or Latino,M,666,nvss,YLL,age-adjusted rate,35181.7620532515,51104.0297919342,65017.8202146138,EPA,attributable
2000,2,White,Hispanic or Latino,M,666,nvss,YLL,crude rate,499.293757704852,725.259952302967,922.722168480268,EPA,attributable
2000,2,White,Not Hispanic or Latino,A,666,nvss,Deaths,absolute number,118.247667696092,171.674835670148,218.402838499618,EPA,attributable
2000,2,White,Not Hispanic or Latino,A,666,nvss,Deaths,age-adjusted rate,513.910307643784,746.10746522874,949.18971435513,EPA,attributable
2000,2,White,Not Hispanic or Latino,A,666,nvss,Deaths,crude rate,26.849512089011,38.9807737058389,49.5909117433154,EPA,attributable
2000,2,White,Not Hispanic or Latino,A,666,nvss,YLL,absolute number,3348.35134737566,4861.21780265465,6184.38784298349,EPA,attributable
2000,2,White,Not Hispanic or Latino,A,666,nvss,YLL,age-adjusted rate,12013.8068171407,17441.9364989614,22189.4398525739,EPA,attributable
2000,2,White,Not Hispanic or Latino,A,666,nvss,YLL,crude rate,760.282225698308,1103.79619913641,1404.23738910501,EPA,attributable
2000,2,White,Not Hispanic or Latino,F,666,nvss,Deaths,absolute number,50.9085360535537,73.9221224223324,94.0447128659108,EPA,attributable
2000,2,White,Not Hispanic or Latino,F,666,nvss,Deaths,age-adjusted rate,438.031099152673,636.046349914483,809.186673582943,EPA,attributable
2000,2,White,Not Hispanic or Latino,F,666,nvss,Deaths,crude rate,24.2497813853658,35.2120773301763,44.7972757466208,EPA,attributable
2000,2,White,Not Hispanic or Latino,F,666,nvss,YLL,absolute number,1256.41997146234,1824.3940632392,2321.01852881552,EPA,attributable
2000,2,White,Not Hispanic or Latino,F,666,nvss,YLL,age-adjusted rate,9729.11888989497,14127.2402114191,17972.8639510664,EPA,attributable
2000,2,White,Not Hispanic or Latino,F,666,nvss,YLL,crude rate,598.483319263357,869.032202139339,1105.59439100647,EPA,attributable
2000,2,White,Not Hispanic or Latino,M,666,nvss,Deaths,absolute number,67.3685796103073,97.7931187476327,124.409172861509,EPA,attributable
2000,2,White,Not Hispanic or Latino,M,666,nvss,Deaths,age-adjusted rate,595.171352608228,863.95858570099,1099.09955230118,EPA,attributable
2000,2,White,Not Hispanic or Latino,M,666,nvss,Deaths,crude rate,29.2303198222399,42.4311177991681,53.9794653916949,EPA,attributable
2000,2,White,Not Hispanic or Latino,M,666,nvss,YLL,absolute number,2093.79972200957,3039.38729349304,3866.60803982594,EPA,attributable
2000,2,White,Not Hispanic or Latino,M,666,nvss,YLL,age-adjusted rate,14256.3056660171,20694.6413441386,26327.0386021121,EPA,attributable
2000,2,White,Not Hispanic or Latino,M,666,nvss,YLL,crude rate,908.471514051231,1318.7492324517,1677.6691787942,EPA,attributable
2000,4,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,absolute number,84.7662132267433,123.26773258116,156.852261707425,EPA,attributable
2000,4,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,age-adjusted rate,589.0503127198,856.601866016645,1089.98468012745,EPA,attributable
2000,4,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,crude rate,30.2734313421845,44.0238757513019,56.0182647650464,EPA,attributable
2000,4,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,absolute number,3018.48018692146,4389.49900342576,5585.42638882812,EPA,attributable
2000,4,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,age-adjusted rate,17018.02032813,24747.7467615226,31490.3176234841,EPA,attributable
2000,4,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,crude rate,1078.02093803668,1567.66701788765,1994.78089043225,EPA,attributable
2000,4,American Indian or Alaska Native,All Origins,F,666,nvss,Deaths,absolute number,36.3182533192422,52.8134854131645,67.2025162998937,EPA,attributable
2000,4,American Indian or Alaska Native,All Origins,F,666,nvss,Deaths,age-adjusted rate,465.29413581285,676.624088680035,860.970280463379,EPA,attributable
2000,4,American Indian or Alaska Native,All Origins,F,666,nvss,Deaths,crude rate,25.4260064262857,36.9741355044242,47.0477364724576,EPA,attributable
2000,4,American Indian or Alaska Native,All Origins,F,666,nvss,YLL,absolute number,1127.02083238707,1638.89760249211,2085.41515455216,EPA,attributable
2000,4,American Indian or Alaska Native,All Origins,F,666,nvss,YLL,age-adjusted rate,12667.1552231331,18420.3962597722,23439.0320997311,EPA,attributable
2000,4,American Indian or Alaska Native,All Origins,F,666,nvss,YLL,crude rate,789.014787548968,1147.37403824733,1459.9760251417,EPA,attributable
2000,4,American Indian or Alaska Native,All Origins,M,666,nvss,Deaths,absolute number,48.4359376946815,70.4370912341556,89.6279567504067,EPA,attributable
2000,4,American Indian or Alaska Native,All Origins,M,666,nvss,Deaths,age-adjusted rate,739.277920230004,1075.08161900116,1367.99187988428,EPA,attributable
2000,4,American Indian or Alaska Native,All Origins,M,666,nvss,Deaths,crude rate,35.3126846851422,51.3528365770329,65.3441210460596,EPA,attributable
2000,4,American Indian or Alaska Native,All Origins,M,666,nvss,YLL,absolute number,1890.74842724145,2749.58689372221,3498.72277338617,EPA,attributable
2000,4,American Indian or Alaska Native,All Origins,M,666,nvss,YLL,age-adjusted rate,21977.9677521299,31961.0643125442,40668.9833397408,EPA,attributable
