Year,Education,Gender.Code,Race,Hispanic.Origin,nation,label_cause,attr,source,min_age,max_age,value,measure1,measure2
2001,666,M,White,Hispanic or Latino,us,cvd_ihd,total,nvss,80,84,33.6514119514552,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_ihd,total,nvss,70,74,21.4335453513678,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_ihd,total,nvss,75,79,33.0809611337006,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_ihd,total,nvss,85,150,20.6693585713896,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_stroke,total,nvss,0,4,0.00463487567469966,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_stroke,total,nvss,5,9,0.00490258746667348,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_stroke,total,nvss,10,14,0.0140503989840714,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_stroke,total,nvss,15,19,0.0288531167134506,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_stroke,total,nvss,20,24,0.037891960497103,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_stroke,total,nvss,25,29,0.0425607069760226,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_stroke,total,nvss,30,34,0.106902341857346,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_stroke,total,nvss,35,39,0.172481922645366,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_stroke,total,nvss,40,44,0.439806039056935,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_stroke,total,nvss,45,49,0.760945002863359,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_stroke,total,nvss,55,59,1.4249837192631,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_stroke,total,nvss,50,54,1.01456583577,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_stroke,total,nvss,60,64,1.38742028999184,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_stroke,total,nvss,65,69,2.05158020692216,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_stroke,total,nvss,70,74,2.35838363089484,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_stroke,total,nvss,80,84,4.45839707320196,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_stroke,total,nvss,75,79,3.75920012882961,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_stroke,total,nvss,85,150,2.0150027954018,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,lri,total,nvss,20,24,0.00421021783301145,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,lri,total,nvss,25,29,0.00425607069760226,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,lri,total,nvss,5,9,0.00326839164444898,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,lri,total,nvss,15,19,0.00961770557115019,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,lri,total,nvss,30,34,0.00890852848811213,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,lri,total,nvss,0,4,0.0077247927911661,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,lri,total,nvss,35,39,0.0246402746636237,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,lri,total,nvss,40,44,0.0496555205386862,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,lri,total,nvss,60,64,0.082304593474092,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,lri,total,nvss,45,49,0.0733440966615286,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,lri,total,nvss,65,69,0.162355268173696,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,lri,total,nvss,50,54,0.117065288742692,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,lri,total,nvss,55,59,0.193687107472655,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,lri,total,nvss,80,84,0.403152926832092,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,lri,total,nvss,75,79,0.375920012882961,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,lri,total,nvss,70,74,0.319075432415184,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,lri,total,nvss,85,150,0.280438533380663,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,neo_lung,total,nvss,10,14,0.00468346632802381,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,neo_lung,total,nvss,0,4,0.00308991711646644,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,neo_lung,total,nvss,25,29,0.0127682120928068,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,neo_lung,total,nvss,20,24,0.0252613069980687,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,neo_lung,total,nvss,30,34,0.0311798497083925,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,neo_lung,total,nvss,35,39,0.10348915358722,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,neo_lung,total,nvss,40,44,0.326307706397081,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,neo_lung,total,nvss,45,49,0.733440966615286,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,neo_lung,total,nvss,50,54,1.47307155001221,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,neo_lung,total,nvss,85,150,1.85920361019032,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,neo_lung,total,nvss,55,59,2.96064578565344,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,neo_lung,total,nvss,80,84,5.76271536589402,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,neo_lung,total,nvss,60,64,3.44503512684414,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,neo_lung,total,nvss,65,69,5.43152169890184,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,neo_lung,total,nvss,75,79,8.19109922808135,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,neo_lung,total,nvss,70,74,6.1456702852142,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,resp_copd,total,nvss,0,4,0.00154495855823322,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,resp_copd,total,nvss,10,14,0.00468346632802381,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,resp_copd,total,nvss,30,34,0.00890852848811213,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,resp_copd,total,nvss,35,39,0.0147841647981742,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,resp_copd,total,nvss,40,44,0.0283745831649635,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,resp_copd,total,nvss,45,49,0.128352169157675,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,resp_copd,total,nvss,50,54,0.204864255299712,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,resp_copd,total,nvss,55,59,0.56722652902706,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,resp_copd,total,nvss,60,64,0.905350528215012,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,resp_copd,total,nvss,65,69,2.15489719575997,Deaths,age-adjusted rate
