Year,Education,Gender.Code,Race,Hispanic.Origin,nation,label_cause,attr,source,measure1,measure2,min_age,max_age,value
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,YLL,crude rate,0,4,3.93322220075791
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,YLL,crude rate,5,9,0.20694579298668
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,YLL,crude rate,10,14,0.389344061568962
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,YLL,crude rate,15,19,0.547224065090707
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,YLL,crude rate,20,24,1.02117149115716
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,YLL,crude rate,25,29,1.26387386361859
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,YLL,crude rate,30,34,1.60364746375897
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,YLL,crude rate,35,39,2.13777734382879
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,YLL,crude rate,40,44,5.82992773473629
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,YLL,crude rate,45,49,7.00342635331349
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,YLL,crude rate,50,54,5.75903640715555
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,YLL,crude rate,55,59,8.34073113671696
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,YLL,crude rate,60,64,6.6311151101438
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,YLL,crude rate,65,69,6.89379684596985
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,YLL,crude rate,70,74,7.86415428689289
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,YLL,crude rate,75,79,7.62405045918748
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,YLL,crude rate,80,84,8.99864372571028
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,YLL,crude rate,85,150,10.1052071650781
2006,666,F,White,Hispanic or Latino,us,lri,total,nvss,Deaths,age-adjusted rate,0,4,0.0618343023481578
2006,666,F,White,Hispanic or Latino,us,lri,total,nvss,Deaths,age-adjusted rate,5,9,0.0461490958488249
2006,666,F,White,Hispanic or Latino,us,lri,total,nvss,Deaths,age-adjusted rate,10,14,0.00746406251979856
2006,666,F,White,Hispanic or Latino,us,lri,total,nvss,Deaths,age-adjusted rate,15,19,0.0626336274964117
2006,666,F,White,Hispanic or Latino,us,lri,total,nvss,Deaths,age-adjusted rate,20,24,0.0596015101480819
2006,666,F,White,Hispanic or Latino,us,lri,total,nvss,Deaths,age-adjusted rate,25,29,0.019479972686743
2006,666,F,White,Hispanic or Latino,us,lri,total,nvss,Deaths,age-adjusted rate,30,34,0.0997044925677913
2006,666,F,White,Hispanic or Latino,us,lri,total,nvss,Deaths,age-adjusted rate,35,39,0.0230811019630057
2006,666,F,White,Hispanic or Latino,us,lri,total,nvss,Deaths,age-adjusted rate,40,44,0.233425161267158
2006,666,F,White,Hispanic or Latino,us,lri,total,nvss,Deaths,age-adjusted rate,45,49,0.272656530865564
2006,666,F,White,Hispanic or Latino,us,lri,total,nvss,Deaths,age-adjusted rate,50,54,0.219912014832084
2006,666,F,White,Hispanic or Latino,us,lri,total,nvss,Deaths,age-adjusted rate,55,59,0.202311642496511
2006,666,F,White,Hispanic or Latino,us,lri,total,nvss,Deaths,age-adjusted rate,60,64,0.862618884603751
2006,666,F,White,Hispanic or Latino,us,lri,total,nvss,Deaths,age-adjusted rate,65,69,0.35155594492651
2006,666,F,White,Hispanic or Latino,us,lri,total,nvss,Deaths,age-adjusted rate,70,74,1.18405949177978
2006,666,F,White,Hispanic or Latino,us,lri,total,nvss,Deaths,age-adjusted rate,75,79,2.61886855543761
2006,666,F,White,Hispanic or Latino,us,lri,total,nvss,Deaths,age-adjusted rate,80,84,2.09159787422642
2006,666,F,White,Hispanic or Latino,us,lri,total,nvss,Deaths,age-adjusted rate,85,150,0.375523529895514
2006,666,F,White,Hispanic or Latino,us,lri,total,nvss,YLL,crude rate,0,4,7.19695830478483
2006,666,F,White,Hispanic or Latino,us,lri,total,nvss,YLL,crude rate,5,9,1.24167475792008
2006,666,F,White,Hispanic or Latino,us,lri,total,nvss,YLL,crude rate,10,14,0.194672030784481
2006,666,F,White,Hispanic or Latino,us,lri,total,nvss,YLL,crude rate,15,19,0.547224065090707
2006,666,F,White,Hispanic or Latino,us,lri,total,nvss,YLL,crude rate,20,24,0.510585745578579
2006,666,F,White,Hispanic or Latino,us,lri,total,nvss,YLL,crude rate,25,29,0.157984232952324
2006,666,F,White,Hispanic or Latino,us,lri,total,nvss,YLL,crude rate,30,34,0.728930665344986
2006,666,F,White,Hispanic or Latino,us,lri,total,nvss,YLL,crude rate,35,39,0.133611083989299
2006,666,F,White,Hispanic or Latino,us,lri,total,nvss,YLL,crude rate,40,44,1.09311145026305
2006,666,F,White,Hispanic or Latino,us,lri,total,nvss,YLL,crude rate,45,49,0.875428294164186
2006,666,F,White,Hispanic or Latino,us,lri,total,nvss,YLL,crude rate,50,54,0.488053932809792
