Year,Gender.Code,Race,min_age,max_age,Hispanic.Origin,rural_urban_class,nation,label_cause,attr,value,Education,source,measure1,measure2
2013,A,American Indian or Alaska Native,65,74,All Origins,666,us,resp_copd,total,7.60888173067755,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,75,84,All Origins,666,us,resp_copd,total,11.1985693510206,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,85,150,All Origins,666,us,resp_copd,total,6.90588474519873,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,35,44,All Origins,666,us,t2_dm,total,0.193952520301922,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,45,54,All Origins,666,us,t2_dm,total,0.78674303913033,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,55,64,All Origins,666,us,t2_dm,total,1.53979637409471,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,65,74,All Origins,666,us,t2_dm,total,2.48186700228109,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,75,84,All Origins,666,us,t2_dm,total,4.00335329456776,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,85,150,All Origins,666,us,t2_dm,total,2.16879025055828,666,nvss,Deaths,age-adjusted rate
2013,A,Asian or Pacific Islander,25,34,All Origins,666,us,all-cause,overall,5.36982563028845,666,nvss,Deaths,age-adjusted rate
2013,A,Asian or Pacific Islander,35,44,All Origins,666,us,all-cause,overall,11.3050634204708,666,nvss,Deaths,age-adjusted rate
2013,A,Asian or Pacific Islander,45,54,All Origins,666,us,all-cause,overall,23.3187005088012,666,nvss,Deaths,age-adjusted rate
2013,A,Asian or Pacific Islander,55,64,All Origins,666,us,all-cause,overall,34.5311359767369,666,nvss,Deaths,age-adjusted rate
2013,A,Asian or Pacific Islander,65,74,All Origins,666,us,all-cause,overall,59.6959019743427,666,nvss,Deaths,age-adjusted rate
2013,A,Asian or Pacific Islander,75,84,All Origins,666,us,all-cause,overall,122.747192894465,666,nvss,Deaths,age-adjusted rate
2013,A,Asian or Pacific Islander,85,150,All Origins,666,us,all-cause,overall,140.077692644694,666,nvss,Deaths,age-adjusted rate
2013,A,Asian or Pacific Islander,25,34,All Origins,666,us,cvd_ihd,total,0.146293326466192,666,nvss,Deaths,age-adjusted rate
2013,A,Asian or Pacific Islander,35,44,All Origins,666,us,cvd_ihd,total,0.890504515349284,666,nvss,Deaths,age-adjusted rate
2013,A,Asian or Pacific Islander,45,54,All Origins,666,us,cvd_ihd,total,2.74915205998499,666,nvss,Deaths,age-adjusted rate
2013,A,Asian or Pacific Islander,55,64,All Origins,666,us,cvd_ihd,total,5.06456660992141,666,nvss,Deaths,age-adjusted rate
2013,A,Asian or Pacific Islander,65,74,All Origins,666,us,cvd_ihd,total,8.91634928234774,666,nvss,Deaths,age-adjusted rate
