Year,Gender.Code,Race,Hispanic.Origin,nation,label_cause,attr,Education,source,measure1,measure2,min_age,max_age,value
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,Deaths,crude rate,75,79,0.115939059479162
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,Deaths,crude rate,80,84,0.137018888475373
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,Deaths,crude rate,85,150,0.358357092935591
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,YLL,absolute number,25,29,384.89580186
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,YLL,absolute number,30,34,59.1962771
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,YLL,absolute number,35,39,271.2630682
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,YLL,absolute number,40,44,197.26957244
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,YLL,absolute number,45,49,311.03324399
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,YLL,absolute number,50,54,475.61685444
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,YLL,absolute number,55,59,349.1488095
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,YLL,absolute number,60,64,272.28094398
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,YLL,absolute number,65,69,231.12805806
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,YLL,absolute number,70,74,361.89940204
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,YLL,absolute number,75,79,188.13866159
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,YLL,absolute number,80,84,172.10342201
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,YLL,absolute number,85,150,279.672384365
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,YLL,age-adjusted rate,85,150,7.72017423975575
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,YLL,crude rate,25,29,4.0567688422842
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,YLL,crude rate,30,34,0.623923699240167
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,YLL,crude rate,35,39,2.85908954532179
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,YLL,crude rate,40,44,2.07920442659545
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,YLL,crude rate,45,49,3.27826379772302
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,YLL,crude rate,50,54,5.01296097965554
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,YLL,crude rate,55,59,3.67999859924536
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,YLL,crude rate,60,64,2.86981786901268
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,YLL,crude rate,65,69,2.43606997006559
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,YLL,crude rate,70,74,3.81438875441715
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,YLL,crude rate,75,79,1.98296540694663
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,YLL,crude rate,80,84,1.81395535281679
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,YLL,crude rate,85,150,2.94772301868843
2002,M,White,Hispanic or Latino,us,ncd_lri,total,666,nvss,Deaths,absolute number,25,29,431
2002,M,White,Hispanic or Latino,us,ncd_lri,total,666,nvss,Deaths,absolute number,30,34,633
2002,M,White,Hispanic or Latino,us,ncd_lri,total,666,nvss,Deaths,absolute number,35,39,928
2002,M,White,Hispanic or Latino,us,ncd_lri,total,666,nvss,Deaths,absolute number,40,44,1686
2002,M,White,Hispanic or Latino,us,ncd_lri,total,666,nvss,Deaths,absolute number,45,49,2400
2002,M,White,Hispanic or Latino,us,ncd_lri,total,666,nvss,Deaths,absolute number,50,54,2990
2002,M,White,Hispanic or Latino,us,ncd_lri,total,666,nvss,Deaths,absolute number,55,59,3551
2002,M,White,Hispanic or Latino,us,ncd_lri,total,666,nvss,Deaths,absolute number,60,64,4016
2002,M,White,Hispanic or Latino,us,ncd_lri,total,666,nvss,Deaths,absolute number,65,69,4737
2002,M,White,Hispanic or Latino,us,ncd_lri,total,666,nvss,Deaths,absolute number,70,74,5835
2002,M,White,Hispanic or Latino,us,ncd_lri,total,666,nvss,Deaths,absolute number,75,79,6214
2002,M,White,Hispanic or Latino,us,ncd_lri,total,666,nvss,Deaths,absolute number,80,84,5268
2002,M,White,Hispanic or Latino,us,ncd_lri,total,666,nvss,Deaths,absolute number,85,150,6489
