"min_age","max_age","Year","Hispanic.Origin","Gender.Code","Race","Population","nation","Education","rural_urban_class","source2"
31,31,2004,"Hispanic or Latino","A","White",663210,"us",666,666,"CDC"
31,31,2004,"Not Hispanic or Latino","A","White",2289531,"us",666,666,"CDC"
31,31,2005,"Hispanic or Latino","A","White",669289,"us",666,666,"CDC"
31,31,2005,"Not Hispanic or Latino","A","White",2216084,"us",666,666,"CDC"
31,31,2006,"Hispanic or Latino","A","White",700426,"us",666,666,"CDC"
31,31,2006,"Not Hispanic or Latino","A","White",2273593,"us",666,666,"CDC"
31,31,2007,"Hispanic or Latino","A","White",703031,"us",666,666,"CDC"
31,31,2007,"Not Hispanic or Latino","A","White",2183551,"us",666,666,"CDC"
31,31,2008,"Hispanic or Latino","A","White",712167,"us",666,666,"CDC"
31,31,2008,"Not Hispanic or Latino","A","White",2252312,"us",666,666,"CDC"
31,31,2009,"Hispanic or Latino","A","White",719230,"us",666,666,"CDC"
31,31,2009,"Not Hispanic or Latino","A","White",2291045,"us",666,666,"CDC"
31,31,2010,"Hispanic or Latino","A","White",734908,"us",666,666,"CDC"
31,31,2010,"Not Hispanic or Latino","A","White",2375915,"us",666,666,"CDC"
31,31,2011,"Hispanic or Latino","A","White",798422,"us",666,666,"CDC"
31,31,2011,"Not Hispanic or Latino","A","White",2516252,"us",666,666,"CDC"
31,31,2012,"Hispanic or Latino","A","White",775922,"us",666,666,"CDC"
31,31,2012,"Not Hispanic or Latino","A","White",2487335,"us",666,666,"CDC"
31,31,2013,"Hispanic or Latino","A","White",787670,"us",666,666,"CDC"
31,31,2013,"Not Hispanic or Latino","A","White",2506281,"us",666,666,"CDC"
31,31,2014,"Hispanic or Latino","A","White",786937,"us",666,666,"CDC"
31,31,2014,"Not Hispanic or Latino","A","White",2509929,"us",666,666,"CDC"
31,31,2015,"Hispanic or Latino","A","White",776053,"us",666,666,"CDC"
31,31,2015,"Not Hispanic or Latino","A","White",2471879,"us",666,666,"CDC"
31,31,2016,"Hispanic or Latino","A","White",802080,"us",666,666,"CDC"
31,31,2016,"Not Hispanic or Latino","A","White",2557089,"us",666,666,"CDC"
32,32,2000,"Hispanic or Latino","A","White",582712,"us",666,666,"CDC"
32,32,2000,"Not Hispanic or Latino","A","White",2619760,"us",666,666,"CDC"
32,32,2001,"Hispanic or Latino","A","White",599999,"us",666,666,"CDC"
32,32,2001,"Not Hispanic or Latino","A","White",2671374,"us",666,666,"CDC"
32,32,2002,"Hispanic or Latino","A","White",654057,"us",666,666,"CDC"
32,32,2002,"Not Hispanic or Latino","A","White",2793928,"us",666,666,"CDC"
32,32,2003,"Hispanic or Latino","A","White",655799,"us",666,666,"CDC"
32,32,2003,"Not Hispanic or Latino","A","White",2708588,"us",666,666,"CDC"
32,32,2004,"Hispanic or Latino","A","White",665918,"us",666,666,"CDC"
32,32,2004,"Not Hispanic or Latino","A","White",2490006,"us",666,666,"CDC"
32,32,2005,"Hispanic or Latino","A","White",677203,"us",666,666,"CDC"
32,32,2005,"Not Hispanic or Latino","A","White",2314600,"us",666,666,"CDC"
32,32,2006,"Hispanic or Latino","A","White",685149,"us",666,666,"CDC"
32,32,2006,"Not Hispanic or Latino","A","White",2247128,"us",666,666,"CDC"
32,32,2007,"Hispanic or Latino","A","White",717346,"us",666,666,"CDC"
32,32,2007,"Not Hispanic or Latino","A","White",2310342,"us",666,666,"CDC"
32,32,2008,"Hispanic or Latino","A","White",721512,"us",666,666,"CDC"
32,32,2008,"Not Hispanic or Latino","A","White",2224894,"us",666,666,"CDC"
32,32,2009,"Hispanic or Latino","A","White",731678,"us",666,666,"CDC"
32,32,2009,"Not Hispanic or Latino","A","White",2300425,"us",666,666,"CDC"
32,32,2010,"Hispanic or Latino","A","White",735189,"us",666,666,"CDC"
32,32,2010,"Not Hispanic or Latino","A","White",2328890,"us",666,666,"CDC"
32,32,2011,"Hispanic or Latino","A","White",738318,"us",666,666,"CDC"
32,32,2011,"Not Hispanic or Latino","A","White",2375557,"us",666,666,"CDC"
32,32,2012,"Hispanic or Latino","A","White",801037,"us",666,666,"CDC"
32,32,2012,"Not Hispanic or Latino","A","White",2518013,"us",666,666,"CDC"
32,32,2013,"Hispanic or Latino","A","White",778628,"us",666,666,"CDC"
32,32,2013,"Not Hispanic or Latino","A","White",2488833,"us",666,666,"CDC"
32,32,2014,"Hispanic or Latino","A","White",791456,"us",666,666,"CDC"
32,32,2014,"Not Hispanic or Latino","A","White",2507669,"us",666,666,"CDC"
32,32,2015,"Hispanic or Latino","A","White",791191,"us",666,666,"CDC"
32,32,2015,"Not Hispanic or Latino","A","White",2511682,"us",666,666,"CDC"
32,32,2016,"Hispanic or Latino","A","White",780286,"us",666,666,"CDC"
32,32,2016,"Not Hispanic or Latino","A","White",2473046,"us",666,666,"CDC"
33,33,2000,"Hispanic or Latino","A","White",561017,"us",666,666,"CDC"
33,33,2000,"Not Hispanic or Latino","A","White",2676926,"us",666,666,"CDC"
33,33,2001,"Hispanic or Latino","A","White",589389,"us",666,666,"CDC"
33,33,2001,"Not Hispanic or Latino","A","White",2619875,"us",666,666,"CDC"
33,33,2002,"Hispanic or Latino","A","White",605842,"us",666,666,"CDC"
33,33,2002,"Not Hispanic or Latino","A","White",2669768,"us",666,666,"CDC"
33,33,2003,"Hispanic or Latino","A","White",657860,"us",666,666,"CDC"
33,33,2003,"Not Hispanic or Latino","A","White",2789609,"us",666,666,"CDC"
33,33,2004,"Hispanic or Latino","A","White",658895,"us",666,666,"CDC"
33,33,2004,"Not Hispanic or Latino","A","White",2709261,"us",666,666,"CDC"
33,33,2005,"Hispanic or Latino","A","White",668897,"us",666,666,"CDC"
33,33,2005,"Not Hispanic or Latino","A","White",2489749,"us",666,666,"CDC"
33,33,2006,"Hispanic or Latino","A","White",679685,"us",666,666,"CDC"
33,33,2006,"Not Hispanic or Latino","A","White",2315251,"us",666,666,"CDC"
33,33,2007,"Hispanic or Latino","A","White",685967,"us",666,666,"CDC"
33,33,2007,"Not Hispanic or Latino","A","White",2246869,"us",666,666,"CDC"
33,33,2008,"Hispanic or Latino","A","White",717005,"us",666,666,"CDC"
33,33,2008,"Not Hispanic or Latino","A","White",2310409,"us",666,666,"CDC"
33,33,2009,"Hispanic or Latino","A","White",719598,"us",666,666,"CDC"
33,33,2009,"Not Hispanic or Latino","A","White",2224522,"us",666,666,"CDC"
33,33,2010,"Hispanic or Latino","A","White",730658,"us",666,666,"CDC"
33,33,2010,"Not Hispanic or Latino","A","White",2304516,"us",666,666,"CDC"
33,33,2011,"Hispanic or Latino","A","White",737812,"us",666,666,"CDC"
33,33,2011,"Not Hispanic or Latino","A","White",2328695,"us",666,666,"CDC"
33,33,2012,"Hispanic or Latino","A","White",740516,"us",666,666,"CDC"
33,33,2012,"Not Hispanic or Latino","A","White",2376651,"us",666,666,"CDC"
33,33,2013,"Hispanic or Latino","A","White",803041,"us",666,666,"CDC"
33,33,2013,"Not Hispanic or Latino","A","White",2518987,"us",666,666,"CDC"
33,33,2014,"Hispanic or Latino","A","White",781656,"us",666,666,"CDC"
33,33,2014,"Not Hispanic or Latino","A","White",2489744,"us",666,666,"CDC"
33,33,2015,"Hispanic or Latino","A","White",794866,"us",666,666,"CDC"
