Year,nation,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,label_cause,lower,mean,upper,method,attr
2006,us,White,Not Hispanic or Latino,F,666,wonder,Deaths,absolute number,,109950.050148446,109950.050148446,109950.050148446,burnett,attributable
2006,us,White,Not Hispanic or Latino,F,666,wonder,Deaths,age-adjusted rate,,681.741199699362,681.741199699362,681.741199699362,burnett,attributable
2006,us,White,Not Hispanic or Latino,F,666,wonder,Deaths,crude rate,,108.420779391953,108.420779391953,108.420779391953,burnett,attributable
2006,us,White,Not Hispanic or Latino,F,666,wonder,YLL,absolute number,,1969806.74177979,1969806.74177979,1969806.74177979,burnett,attributable
2006,us,White,Not Hispanic or Latino,F,666,wonder,YLL,age-adjusted rate,,15972.7938402851,15972.7938402851,15972.7938402851,burnett,attributable
2006,us,White,Not Hispanic or Latino,F,666,wonder,YLL,crude rate,,1942.40913857653,1942.40913857653,1942.40913857653,burnett,attributable
2006,us,White,Not Hispanic or Latino,M,666,wonder,Deaths,absolute number,,103745.553014727,103745.553014727,103745.553014727,burnett,attributable
2006,us,White,Not Hispanic or Latino,M,666,wonder,Deaths,age-adjusted rate,,1020.55147614134,1020.55147614134,1020.55147614134,burnett,attributable
2006,us,White,Not Hispanic or Latino,M,666,wonder,Deaths,crude rate,,106.090253712016,106.090253712016,106.090253712016,burnett,attributable
2006,us,White,Not Hispanic or Latino,M,666,wonder,YLL,absolute number,,2422344.78784264,2422344.78784264,2422344.78784264,burnett,attributable
2006,us,White,Not Hispanic or Latino,M,666,wonder,YLL,age-adjusted rate,,25269.0636617673,25269.0636617673,25269.0636617673,burnett,attributable
2006,us,White,Not Hispanic or Latino,M,666,wonder,YLL,crude rate,,2477.09097549199,2477.09097549199,2477.09097549199,burnett,attributable
