Year,Region,Ethnicity,Gender.Code,Education,rural_urban_class,source,measure1,measure2,scenario,lower,mean,upper,method,attr,min_age,max_age,agr_by,measure3
1990,United States,"All, All Origins",All genders,666,small-medium metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,1059.97805034178,1390.91192962005,1708.84630909338,burnett,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,small-medium metro,National Vital Statistics System,YLL,"crude rate per 100,000",A,1603.56331340805,2104.20898980045,2585.18867313464,burnett,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,non metro,National Vital Statistics System,Deaths,absolute number,A,859.578534981018,1129.60015675563,1389.81711884544,burnett,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,non metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,2.20230645256033,2.89412265755452,3.56081856881141,burnett,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,non metro,National Vital Statistics System,Deaths,"crude rate per 100,000",A,3.83281335338529,5.03682489569694,6.19711800038364,burnett,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,non metro,National Vital Statistics System,YLL,absolute number,A,17307.2449553368,22744.0144430645,27983.3713152337,burnett,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,non metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,45.3480311688887,59.5933251381934,73.3213632723504,burnett,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,non metro,National Vital Statistics System,YLL,"crude rate per 100,000",A,77.1720522041536,101.414307965346,124.77631174461,burnett,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,All,National Vital Statistics System,Deaths,absolute number,A,206898.932499053,271184.321774072,332797.533388814,burnett,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,90.5531934291039,118.688898236149,145.655074435069,burnett,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,All,National Vital Statistics System,Deaths,"crude rate per 100,000",A,130.490525181066,171.03512396968,209.894388464612,burnett,attributable,25,150,nation,value
